test_id,module,feature,expected_behavior,expected_source,route,api,worker,data_dependencies,roles,tenant_scope,plan_tier,launch_in_scope,scenarios,assertions,status,evidence,defects,blockers,notes
TRUST-001,Trust Gate,Threshold 69/70/71,"69 HOLD, 70 PASS, 71 PASS; 39 BLOCK, 40 HOLD; None BLOCK",docs/architecture/trust-engine.md,n/a,n/a,tasks.apply_actions_queue,fact_signal_health_daily,system,tenant,all,yes,"boundary_min,unknown_health",_decision_for_score exact integers,PASS,backend/tests/unit/test_trust_gate_signal_health.py TestExactScoreBoundaries,,,Added during this audit
TRUST-002,Trust Gate,Fail closed on missing health,No snapshot / unscorable row BLOCKS execution,docs/architecture/trust-engine.md,n/a,n/a,tasks.apply_actions_queue,fact_signal_health_daily,system,tenant,all,yes,"unknown_health,empty",may_execute is False,PASS,test_trust_gate_signal_health.py; test_signal_health_service.py,,,
TRUST-003,Trust Gate,Stale and future snapshots,Stale HOLD (or BLOCK if configured); future never PASS,docs/architecture/trust-engine.md,n/a,n/a,tasks.apply_actions_queue,fact_signal_health_daily,system,tenant,all,yes,"timezone_boundary,unknown_health",decision not PASS,PASS,test_trust_gate_signal_health.py,,,
TRUST-004,Trust Gate,Gate immediately before Meta side effects,Executor refuses if gate missing or may_execute false; master switch first,code,n/a,n/a,tasks.apply_actions_queue,Meta write_client,system,tenant,professional+,yes,retry_idempotency,no HTTP when blocked/disabled,PASS,test_meta_write_executor.py,,,autopilot_execution_enabled default false
TRUST-005,Trust Gate,Durable audit for allow and deny,Worker writes TrustGateAuditLog for executed and held/blocked actions,docs/architecture/trust-engine.md,/dashboard,/api/v1/trust,tasks.apply_actions_queue,TrustGateAuditLog,admin,tenant,professional+,yes,"happy_path,unknown_health",table row for HOLD/BLOCK/PASS,FAIL,apply_actions_queue.py log_gate_decision_audit logger.info only,DEF-002,,Dry-run HTTP path can insert; worker path does not
TRUST-006,Trust Gate,UI widget vs worker same score,TrustGateIndicator uses same snapshot/freshness as executor,hypothesis 5.B,/dashboard/*,/api/v1/dashboard,tasks.signal_health_rollup,fact_signal_health_daily,user,tenant,all,yes,"unknown_health,reload",widget score == gate score,BLOCKED,,,No authenticated dashboard session,Code: widget reads gate_decision; execution off by default
TRUST-007,Trust Gate,Public FAQ threshold copy,FAQ must say >=70 PASS and 40-69 HOLD not above 70 / 40-70,docs vs UI copy,/faq,n/a,n/a,FAQ.tsx,anon,n/a,all,yes,happy_path,copy matches >= contract,FAIL,audit/evidence/PROD-faq.png; FAQ.tsx:90,DEF-003,,Production FAQ: Scores above 70 Healthy; 40-70 Degraded
TRUST-008,Trust Gate,Insights autopilot status on no_data,Unknown health must not report automation unblocked,code,/app/:id/insights,/api/v1/insights,n/a,signal health,admin,tenant,all,yes,unknown_health,blocked true when no snapshot,FAIL,insights.check_signal_health_for_autopilot ignores automation_blocked,DEF-004,,Static inspection; not reproduced on live UI
TRUST-009,Trust Gate,Hardcoded UI bands vs tenant overrides,Progress/color bands use API healthy_threshold not literals 70/40,code,/dashboard,/api/v1/trust,n/a,TenantOnboarding thresholds,user,tenant,all,yes,plan_gate,UI uses published thresholds,FAIL,TrustGateStatus.tsx HEALTHY_BAND=70; SignalHealthCard getScoreColor,DEF-005,,Decision badge uses API; colors/ticks do not
TRUST-010,Trust Gate,Rules worker uses same evaluator,evaluate_all_rules calls check_signal_health_sync; BLOCK/HOLD skip mutations,code,/dashboard/rules,/api/v1/rules,evaluate-active-rules,"Rule, Campaign, fact_signal_health_daily",system,tenant,all,yes,unknown_health,no pause/budget on HOLD/BLOCK,PASS,test_rules_trust_gate.py,,,HOLD still allows apply_label and send_alert
SIG-001,Signal Health,Insufficient data not scored as 0,API overall_score null with missing_inputs; rollup writes no row,docs/architecture/trust-engine.md,/dashboard,/api/v1/trust,trust-signal-health-rollup,"capi_delivery_logs, Campaign.last_synced_at",user,tenant,all,yes,"empty,unknown_health",no fabricated 85,PASS,test_signal_health_service.py,,,Explains NO DATA widget vs mock active rules
AUTO-001,Autopilot,Meta writes off by default,Scheduled apply_actions_queue issues no Meta request when disabled,CLAUDE.md,n/a,n/a,autopilot-apply-actions-queue,"fact_actions_queue, Meta",system,tenant,professional+,yes,happy_path,no HTTP; no row query when disabled,PASS,test_meta_write_executor.py,,,Spend-changing Meta writes not enabled in default launch build
AUTO-002,Autopilot,Duplicate-execution protection,Claim applying before write; ambiguous timeout reconciled not retried; relative change not compounded,code,n/a,n/a,tasks.apply_actions_queue,"fact_actions_queue, Meta",system,tenant,professional+,yes,"retry_idempotency,double_submit",second write not issued,PASS,test_meta_write_executor.py,,,Verified in unit tests only; live Meta sandbox not used
AUTO-003,Autopilot,Failed/blocked not counted applied,processed increments only for applied; HOLD/BLOCK distinct buckets,code,n/a,n/a,tasks.apply_actions_queue,fact_actions_queue,system,tenant,professional+,yes,"partial_success,error",bucket != applied,PASS,action_executor.py ActionOutcome; unit tests,,,
AUTO-004,Autopilot,Allowlist excludes budget increase,"Default executable types budget_decrease,pause_adset,bid_decrease",CLAUDE.md,n/a,n/a,action_executor,Settings,system,tenant,professional+,yes,plan_gate,scale_budget not default,PASS,test_meta_write_executor.py allowlist,,,Custom Autopilot UI still shows +20% scale
AUTO-005,Custom Autopilot,Custom Autopilot is a real backend,Create/edit/activate persists and evaluates server-side with trust gate,UI copy,/dashboard/custom-autopilot-rules,none,none,useState mockRules,admin,tenant,enterprise,yes,"crud_lifecycle,reload",reload keeps rules; API called,FAIL,frontend/src/views/CustomAutopilotRules.tsx mockRules + setTimeout save,DEF-006,,Advertised on Professional pricing as Trust-Gated Autopilot
AUTO-006,Custom Autopilot,Scale High ROAS consecutive days,Description 3 consecutive ROAS>4 days must match stored condition and evaluator,hypothesis 5.A,/dashboard/custom-autopilot-rules,none,none,mockRules,admin,tenant,enterprise,yes,"boundary_min,timezone_boundary",streak not campaign age; ROAS 4.0 excluded by gt,FAIL,CustomAutopilotRules.tsx description vs days_running gte 3 and roas gt 4.0,DEF-007,,days_running is not a Campaign column; real rules engine cannot evaluate it
AUTO-007,Custom Autopilot,Preset Pause Underperformers,"CPA>50, conversions<10, age>=7 persist and execute with currency",UI copy,/dashboard/custom-autopilot-rules,none,none,mockRules,admin,tenant,enterprise,yes,boundary_min,backend evaluation,FAIL,mock only,DEF-006,,pause_campaign not in Meta allowlist; rules worker can pause local Campaign.status
AUTO-008,Custom Autopilot,Creative fatigue 70 vs 0.70,Threshold units match stored contract,UI copy,/dashboard/custom-autopilot-rules,none,none,mockRules,admin,tenant,enterprise,yes,boundary_min,70% vs 0.70 consistent,FAIL,fatigue_score gt 70 percentage,DEF-008,,Mock only; Slack notify never sent in this audit
AUTO-009,Custom Autopilot,Save/toggle/delete persistence,Mutations survive reload,inferred — ambiguity,/dashboard/custom-autopilot-rules,none,none,React state,admin,tenant,enterprise,yes,"crud_lifecycle,reload",GET after POST,FAIL,handleSaveRule setTimeout 1000ms,DEF-006,,
RULE-001,Automation Rules,Empty API does not show live mock rules,Empty store shows empty state not synthetic active rules,inferred — ambiguity,/dashboard/rules,/api/v1/rules,evaluate-active-rules,Rule,admin,tenant,all,yes,empty,no mockRules when items empty,FAIL,frontend/src/views/Rules.tsx return mockRules,DEF-009,,Hypothesis 5.D demo vs live
RULE-002,Automation Rules,Empty conditions match nothing,Unconfigured rule does not fire on every campaign,code comment,n/a,/api/v1/rules,evaluate-active-rules,Rule.conditions,system,tenant,all,yes,empty,matched False,PASS,test_rules_trust_gate.py,,,
RULE-003,Automation Rules,Worker cooldown,Beat path honors cooldown_hours across restarts,code,n/a,/api/v1/rules,evaluate-active-rules,Rule.last_triggered_at,system,tenant,all,yes,retry_idempotency,second run skipped in cooldown,FAIL,workers/tasks/rules.py has no cooldown; services/rules_engine.py does,DEF-010,,API dry-run uses RulesEngine; beat worker does not
RULE-004,Automation Rules,pause_campaign previous_status,Audit records status before mutation,inferred — ambiguity,n/a,n/a,evaluate-active-rules,Campaign.status,system,tenant,all,yes,happy_path,previous_status is prior value,FAIL,rules.py sets status then previous_status=campaign.status,DEF-011,,Always records paused
RULE-005,Automation Rules,BLOCK durable RuleExecution,Denied runs persist with reason,docs,n/a,n/a,evaluate-active-rules,RuleExecution,system,tenant,all,yes,unknown_health,row exists on BLOCK,FAIL,test_rules_trust_gate.py asserts no RuleExecution on BLOCK,DEF-012,,Task return dict only
RULE-006,Automation Rules,days_running not a Campaign metric,"Evaluator getattr(campaign, metric); missing metric fails closed (no match)",code,n/a,/api/v1/rules,evaluate-active-rules,Campaign,system,tenant,all,yes,validation_invalid,days_running is None -> no match,PASS,base_models.py Campaign has roas not days_running,,,Fail-safe for Custom Autopilot fields on the real engine
RULE-007,Automation Rules,Rules CRUD via UI and API,Create/edit/activate/pause/delete persist,spec,/dashboard/rules,/api/v1/rules,n/a,Rule,admin,tenant,all,yes,"crud_lifecycle,ui_authz,api_authz",reload + store,BLOCKED,,,No tenant credentials,
AUTO-010,Kill switch,Product emergency stop,Operator can halt all automation including rules and queue,spec,settings / enforcement,/tenant/{id}/autopilot/enforcement/kill-switch,n/a,TenantEnforcementSettings,admin,tenant,professional+,yes,happy_path,no side effects after stop,FAIL,kill switch is budget/ROAS enforcer not Meta master switch; no global UI stop,DEF-013,,AUTOPILOT_EXECUTION_ENABLED is the Meta switch; rules beat ignores it
ONB-001,Onboarding,Step allowlist and money cents,Wizard fields map; money *100; trust thresholds persist,test,/onboarding,/api/v1/onboarding/steps,n/a,TenantOnboarding,admin,tenant,all,yes,"validation_invalid,boundary_min",unit pass,PASS,test_onboarding_steps.py; test_onboarding_agent_thresholds.py,,,Core onboarding UI still BLOCKED
ONB-002,Onboarding,Start Setup wizard UI,"Steps validate, cancel, resume, survive reload",spec,/onboarding,/api/v1/onboarding,n/a,"onboarding, Meta OAuth",admin,tenant,all,yes,"cancel,back,reload,session_expired",status matches prerequisites,BLOCKED,,,No authenticated session; core onboarding is a potential release blocker until tested,
OVR-001,Overview,Overview uses selected org and ad account,KPIs scoped to selection; empty/partial/complete states,spec,/dashboard/overview,/api/v1/dashboard,sync-all-campaigns,"campaigns, metrics",user,org+account,all,yes,"empty,reload",reload matches store,BLOCKED,,,No session,
DASH-001,Custom Dashboard,Widget CRUD and persistence,Create/config/resize/order/remove/saved layouts isolated per user/org,spec,/dashboard/dashboard,/api/v1/dashboard,n/a,layouts,user,org,professional+,yes,"crud_lifecycle,empty",reload layout,BLOCKED,,,No session,
CAMP-001,Campaigns,Campaign list/detail/sync,"Account selection, hierarchy, filters, pagination, sync freshness",spec,/dashboard/campaigns,/api/v1/campaigns,sync-all-campaigns,"campaigns, campaign_metrics, Meta ads_read",user,account,all,yes,"search_filter_sort_page,empty,error",store matches UI,BLOCKED,,,No session; Meta insights are GET-only,
CAMP-002,Campaigns,Campaign mutations,"Pause/budget changes permissioned, correct IDs and units, read-back",spec,/dashboard/campaigns;/app/:id/campaigns,/api/v1/campaigns,n/a,Meta ads_management,admin,account,professional+,yes,"api_authz,retry_idempotency",Meta state matches,BLOCKED,,,Must not mutate live ads. Isolated sandbox not available,
CAMP-003,Campaigns,Insights ingestion read-only,insights_client GET only; last_synced_at not refreshed on empty/failure,CLAUDE.md,n/a,n/a,sync-all-campaigns,"Meta insights, campaign_metrics",system,account,all,yes,"error,partial_success",no write verbs,PASS,docs/integrations; test_meta_insights.py if present in 2236,,,Unit suite passed including Meta insights tests
ANA-001,Stratum Analytics,No mock insights when API empty,Empty analytics is empty not mockInsights,inferred — ambiguity,/dashboard/stratum,/api/v1/analytics,n/a,campaign_metrics,user,tenant,all,yes,empty,no mockPredictionData as live,FAIL,frontend/src/views/Stratum.tsx mock fallbacks,DEF-014,,
ANA-002,Stratum Analytics,Independent metric oracle,ROAS/spend recalculated from fixtures,spec,/dashboard/stratum,/api/v1/analytics,n/a,campaign_metrics,user,tenant,all,yes,"happy_path,timezone_boundary",independent expected values,BLOCKED,,,Needs fixture tenant,
BENCH-001,Benchmarks,Benchmark source and freshness,"Cohort, units, missing not zero",spec,/dashboard/benchmarks,/api/v1/*,n/a,benchmarks,user,tenant,all,yes,"empty,loading",provenance labeled,BLOCKED,,,No session,
COMP-001,Competitor Intelligence,Competitor setup and refresh,"Sources, duplicates, unavailable labeled; not presented as measured ads",spec,/dashboard/competitors,/api/v1/competitors,refresh-competitor-data,intel queue,user,tenant,all,yes,"error,empty",estimates labeled,BLOCKED,,,No session; market_proxy mock fallback exists in code,
AST-001,Asset Library,Upload/preview/delete isolation,"Type/size limits, tenant isolation, unsafe content",spec,/dashboard/assets,/api/v1/assets,n/a,object store,user,tenant,all,yes,"validation_invalid,oversized,cross_tenant",file not in other tenant,BLOCKED,,,No session; no production uploads,
RPT-001,Custom Reports,Reports persist to backend,Saved reports reload from API not MOCK_REPORTS,UI copy,/dashboard/custom-reports,none,none,React state,admin,tenant,enterprise,yes,"crud_lifecycle,reload",GET list,FAIL,CustomReportBuilder.tsx MOCK_REPORTS,DEF-015,,
RPT-002,Custom Reports,Export figures reconcile,CSV/PDF matches source; formula injection escaped,spec,/dashboard/custom-reports;/app/:id/reporting,/api/v1/reporting,n/a,metrics,admin,tenant,professional+,yes,"empty,oversized",figures match,BLOCKED,,,Would require real reports; mock builder cannot export live data,
WA-001,WhatsApp,Connection templates conversations,Credentials tenant-owned; templates; 24h window; webhooks,spec,/dashboard/whatsapp,/api/v1/whatsapp,process-scheduled-whatsapp,WhatsApp Cloud API,admin,tenant,all,yes,"happy_path,error,retry_idempotency",delivery status distinct from API accept,BLOCKED,,,Must not message real recipients. No approved sandbox recipients,
WA-002,WhatsApp,Dispatch unit guards,"Opt-out, missing template, rate limit, tenant miss recorded as not sent",test,n/a,/api/v1/whatsapp,app.workers.tasks.whatsapp,contacts,system,tenant,all,yes,"error,retry_idempotency",unit pass,PASS,tests/unit/test_whatsapp_dispatch.py in 2236 passed,,,Not a live delivery proof
CDP-001,CDP,CDP overview health,Real /cdp/health stats,code,/dashboard/cdp,/api/v1/cdp/health,n/a,cdp profiles/events,user,tenant,starter+,yes,"empty,loading,error",numbers from API,BLOCKED,,,,View wired to API; live unverified
CDP-002,CDP,Profiles search,Search/filter tenant scoped,code,/dashboard/cdp/profiles,/api/v1/cdp/profiles,n/a,profiles,user,tenant,starter+,yes,"search_filter_sort_page,unicode,cross_tenant",no cross-tenant,BLOCKED,,,,No session
CDP-003,CDP,Segments CRUD/compute,Create/compute persists,code,/dashboard/cdp/segments,/api/v1/cdp/segments,compute-cdp-segments,segments,admin,tenant,starter+,yes,crud_lifecycle,worker result,BLOCKED,,,,No session
CDP-004,CDP,Events timeline,Ingested events listed; malformed rejected,code,/dashboard/cdp/events,/api/v1/cdp/events,n/a,events,user,tenant,starter+,yes,"validation_invalid,duplicate",store,BLOCKED,,,,Integration ingest tests ERROR without DB
CDP-005,CDP,Identity graph merge,Merge/unmerge cannot cross orgs,code,/dashboard/cdp/identity,/api/v1/cdp,n/a,identity,admin,tenant,professional+,yes,cross_tenant,no cross-org merge,BLOCKED,,,,No session
CDP-006,CDP,Audience sync to Meta,Push Custom Audiences; no Google/TikTok activation,code,/dashboard/cdp/audience-sync,/api/v1/cdp/audience-sync,n/a,Meta customaudiences,admin,tenant,professional+,yes,"error,retry_idempotency",Meta audience updated,BLOCKED,,,,Must not sync live audiences. Connector is real in code
CDP-007,CDP,RFM analysis,Scores from real events,code,/dashboard/cdp/rfm,/api/v1/cdp,n/a,events,user,tenant,starter+,yes,empty,API stats,BLOCKED,,,,View uses real hooks
CDP-008,CDP,Funnels,CRUD/analyze,code,/dashboard/cdp/funnels,/api/v1/cdp,compute-cdp-funnels,funnels,admin,tenant,professional+,yes,crud_lifecycle,worker,BLOCKED,,,,
CDP-009,CDP,Computed traits,Builder persists,code,/dashboard/cdp/computed-traits,/api/v1/cdp,n/a,traits,admin,tenant,professional+,yes,crud_lifecycle,API,BLOCKED,,,,
CDP-010,CDP,Consent manager uses real API,Consent stats from backend not Math.random / tenantId=1,spec,/dashboard/cdp/consent,none,none,ConsentManager mocks,admin,tenant,enterprise,yes,happy_path,API called,FAIL,components/cdp/ConsentManager.tsx,DEF-016,,
CDP-011,CDP,Predictive churn uses real model,Predictions from training artifacts not MOCK_* constants,spec,/dashboard/cdp/predictive-churn,none,none,MOCK_PREDICTIONS,admin,tenant,enterprise,yes,happy_path,API called,FAIL,views/cdp/CDPPredictiveChurn.tsx,DEF-017,,
KG-001,Knowledge Graph,Insights section implemented,Graph-derived insights from API not placeholder cards,nav,/dashboard/knowledge-graph/insights,/api/v1/knowledge-graph,n/a,KG,user,tenant,all,yes,empty,API data,FAIL,KnowledgeGraphInsights.tsx placeholder comment,DEF-019,,Nav Insights exists
KG-002,Knowledge Graph,Problem Detection,"Triggers, evidence, resolve, tenant isolation",code,/dashboard/knowledge-graph/problems,/api/v1/knowledge-graph,n/a,problems,user,tenant,all,yes,"crud_lifecycle,cross_tenant",resolve persists,BLOCKED,,,,View wired; live unverified
KG-003,Knowledge Graph,Revenue Attribution,Credited revenue matches events and model,code,/dashboard/knowledge-graph/revenue,/api/v1/knowledge-graph,n/a,revenue events,user,tenant,all,yes,happy_path,reconcile totals,BLOCKED,,,,View wired; live unverified
KG-004,Knowledge Graph,Journey Explorer route,Nav target renders journey UI,nav,/dashboard/knowledge-graph/journeys,/api/v1/knowledge-graph/analytics/journey/{id},n/a,profiles,user,tenant,all,yes,direct_url,not 404,FAIL,DashboardLayout kgNavigation vs App.tsx no Route; no view file,DEF-020,,Backend journey endpoint exists without UI
KG-005,Knowledge Graph,Dark overlay reproduction,Central content not obscured across viewports,hypothesis 5.C,/dashboard/knowledge-graph/*,n/a,n/a,"NeuralNetworkBg, chat",user,tenant,all,yes,happy_path,content visible,BLOCKED,NeuralNetworkBg behind z-10; Insights has no overlay in markup,,Authenticated KG not opened,Filed as suspected; landing chat overlay is separate
ORG-001,Organizations,Org switch isolation,Prior tenant data does not leak after switch,spec,/dashboard/tenants;/app/:id,/api/v1/tenants,n/a,tenants,admin,org,all,yes,"stale_tab,cache_stale,cross_tenant",requests retarget,BLOCKED,,,,No multi-tenant credentials
SET-001,Settings,Settings persistence,"Prefs, integrations, notifications persist",spec,/dashboard/settings;/app/:id/settings,/api/v1/*,n/a,settings,admin,tenant,all,yes,reload,store,BLOCKED,,,,No session
ML-001,ML Training,Training jobs isolated,Lightweight fixtures; no paid training; tenant isolation,spec,/dashboard/ml-training,/api/v1/ml,ml queue,models,admin,tenant,professional+,yes,"cancel,error,empty",placeholder metrics not reported as measured,BLOCKED,,,Did not start training jobs,
CAPI-001,CAPI,CAPI setup and event trace,"Synthetic event through validation, forward, diagnostics",spec,/dashboard/capi-setup,/api/v1/capi,n/a,"Meta CAPI, capi_delivery_logs",admin,tenant,all,yes,"retry_idempotency,error,duplicate",accepted vs confirmed distinct,BLOCKED,,,No sandbox pixel/CAPI credentials used,
CAPI-002,CAPI,EMQ honesty unit tests,No invented EMQ; delivery logs drive scores,test,n/a,/api/v1/emq,n/a,capi_delivery_logs,system,tenant,all,yes,unknown_health,unit pass,PASS,test_emq_v2_honesty.py in 2236,,,
DQ-001,Data Quality,Data quality dashboard live,"Source, freshness, denominator documented",spec,/dashboard/data-quality,/api/v1/*,n/a,quality,user,tenant,all,yes,empty,drill-down evidence,BLOCKED,,,,No session
EMQ-001,EMQ Dashboard,EMQ dashboard not mixed with mocks,Coverage/PII/funnel/alerts from API when EMQ present,inferred — ambiguity,/dashboard/emq-dashboard,/api/v1/emq,n/a,mock constants + API,user,tenant,all,yes,empty,no mock mix,FAIL,DataQualityDashboard.tsx seeds mock constants,DEF-021,,
BILL-001,Billing,Paddle webhook signatures and idempotency,Invalid/stale signatures rejected; event_id idempotent; plan sync,docs/integrations/billing-paddle.md,n/a,/api/v1/webhooks/paddle,n/a,Paddle,system,tenant,all,yes,"retry_idempotency,error",unit pass,PASS,test_paddle_webhook.py,,,Did not complete a live/sandbox checkout
BILL-002,Billing,Sandbox checkout and entitlements,"Test-mode purchase, failure, cancel, plan change, server-side entitlements",spec,/dashboard/settings;/pricing,/api/v1/billing,n/a,Paddle sandbox,admin,tenant,all,yes,"error,plan_gate,duplicate",plan in DB not just redirect,BLOCKED,PROD-pricing.png; Permissions-Policy includes sandbox-buy.paddle.com,,No Paddle test account; must not purchase on live,Host CSP allows both live and sandbox Paddle
BILL-003,Billing,Seat limits and entitlement writes,max_users enforced; tenant admin cannot PATCH own plan,test,n/a,/api/v1/tenants,n/a,plan flags,admin,tenant,all,yes,"plan_gate,api_authz",unit pass,PASS,test_seat_limits.py; test_auth_bypass_regression.py,,,Two parallel systems: features/flags.py vs core/tiers.py
CHR-001,Global chrome,Notifications are real,Bell count matches unread store; not demo list / hardcoded 3,inferred — ambiguity,/dashboard,/api/v1/notifications,n/a,DEMO_NOTIFICATIONS,user,tenant,all,yes,empty,count matches API,FAIL,NotificationCenter DEMO_NOTIFICATIONS; DashboardLayout unreadCount=3,DEF-022,,
CHR-002,Global chrome,Public language control,EN-US visible on public pages,UI,/pricing;/faq,n/a,n/a,i18n,anon,n/a,all,yes,happy_path,control present,PASS,PROD-pricing.png EN-US,,,Authenticated RTL not tested
CHR-003,Global chrome,Command palette shortcut,Cmd/Ctrl+K search; no OS collision,code,/dashboard,n/a,n/a,CommandPalette,user,tenant,all,yes,happy_path,navigates,BLOCKED,,,,No authenticated chrome
CHR-004,Global chrome,Landing floating chat,Chat does not prevent reading hero (inventory),UI,/,n/a,n/a,chat widget,anon,n/a,all,yes,happy_path,dismissible,PASS,PROD-landing.png,,,Overlays content; a11y tree mostly missing
A11Y-001,Accessibility,Public pages expose interactive tree,Nav links and CTAs in accessibility snapshot,WCAG 2.2 AA,/;/login;/pricing;/faq,n/a,n/a,SPA,anon,n/a,all,yes,happy_path,roles for nav/buttons,FAIL,browser_snapshot on landing/pricing/faq: skip-link + notifications only until chat,DEF-023,,Visual UI present; AT tree sparse. Login snapshot also incomplete vs screenshot
OPS-001,Operations,Public /health reports API environment,Health JSON includes version and APP_ENV from FastAPI,code,/health,/health,n/a,nginx vs FastAPI,auditor,host,n/a,yes,happy_path,JSON environment field,FAIL,frontend/nginx.conf return 200 healthy; FastAPI JSON not proxied,DEF-018,,Cannot prove production vs staging from this host
OPS-002,Operations,Debug /test-page not in launch host,Debug route absent or auth-gated,code,/test-page,n/a,n/a,TestPage,anon,n/a,all,yes,direct_url,404,FAIL,audit/evidence/PROD-test-page.png,DEF-024,,
OPS-003,Operations,Status page is measured,Uptime from real probes not hardcoded Jan 2026 bars,UI copy,/status,n/a,n/a,Status.tsx constants,anon,n/a,all,yes,happy_path,live probe data,FAIL,PROD-status.png; Status.tsx uptimeHistory Jan 9-22 hardcoded 99.98%,DEF-026,,Claims real-time monitoring
SEC-001,Security,HSTS on production HTTPS,Strict-Transport-Security present,security review,https://meta.stratumai.app,n/a,n/a,Cloudflare/Railway/nginx,anon,n/a,all,yes,happy_path,HSTS header,FAIL,fetch /pricing headers: no STS; nginx HSTS commented,DEF-027,,TLS is on; HSTS missing at origin
